ticker,company_name,sector,year,authenticity_score,has_both_sources,top_stated_themes,top_lived_themes,largest_theme_gap
AAPL,Apple,Technology,2016,0.25,True,employees|customers_or_patients,governance_accountability|financial_performance|employees,customers_or_patients
AAPL,Apple,Technology,2017,0.3536,True,employees|customers_or_patients,governance_accountability|financial_performance|diversity_equity_inclusion,none
AAPL,Apple,Technology,2018,,False,,,none
AAPL,Apple,Technology,2019,0.7166,True,financial_performance|community_social_impact|innovation,financial_performance|governance_accountability|innovation,community_social_impact
AAPL,Apple,Technology,2020,0.6025,True,financial_performance|community_social_impact|employees,governance_accountability|financial_performance|innovation,community_social_impact
AAPL,Apple,Technology,2021,0.6018,True,financial_performance|community_social_impact|employees,community_social_impact|governance_accountability|sustainability_environment,none
AAPL,Apple,Technology,2022,0.7046,True,financial_performance|community_social_impact|employees,community_social_impact|governance_accountability|employees,none
AAPL,Apple,Technology,2023,0.4781,True,financial_performance|community_social_impact|employees,sustainability_environment|governance_accountability|diversity_equity_inclusion,community_social_impact
AAPL,Apple,Technology,2024,0.6954,True,financial_performance|community_social_impact|employees,sustainability_environment|governance_accountability|innovation,none
ABBV,AbbVie,Healthcare,2016,,False,,,none
ABBV,AbbVie,Healthcare,2017,,False,,,none
ABBV,AbbVie,Healthcare,2018,,False,,,none
ABBV,AbbVie,Healthcare,2019,,False,,,none
ABBV,AbbVie,Healthcare,2020,,False,,,none
ABBV,AbbVie,Healthcare,2021,,False,,,none
ABBV,AbbVie,Healthcare,2022,,False,,,none
ABBV,AbbVie,Healthcare,2023,,False,innovation|customers_or_patients|ethics_integrity,,innovation
ABBV,AbbVie,Healthcare,2024,,False,innovation|customers_or_patients|employees,,innovation
ABT,Abbott Laboratories,Healthcare,2016,,False,innovation|customers_or_patients|community_social_impact,,innovation
ABT,Abbott Laboratories,Healthcare,2017,,False,customers_or_patients|innovation|community_social_impact,,customers_or_patients
ABT,Abbott Laboratories,Healthcare,2018,,False,,,none
ABT,Abbott Laboratories,Healthcare,2019,,False,,,none
ABT,Abbott Laboratories,Healthcare,2020,,False,,,none
ABT,Abbott Laboratories,Healthcare,2021,,False,,,none
ABT,Abbott Laboratories,Healthcare,2022,,False,,,none
ABT,Abbott Laboratories,Healthcare,2023,,False,,,none
